????(???)?,??,???,?? (?),?,0 - 4?,5 - 9?,10 - 14?,15 - 19?,20 - 24?,25 - 29?,30 - 34?,35 - 39?,40 - 44?,45 - 49?,50 - 54?,55 - 59?,60 - 64?,65 - 69?,70 - 74?,75 - 79?,80? ??,80 - 84?,85? ??,85 - 89?,90 - 94?,95 - 99?,100? ??
 ??,?,100? ??,16,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,?,59535.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,0 - 4?,1771.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,5 - 9?,1851.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,10 - 14?,1550,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,15 - 19?,1975.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,20 - 24?,3543,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,25 - 29?,5289,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,30 - 34?,4981,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,35 - 39?,5050.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,40 - 44?,4375.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,45 - 49?,4635.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,50 - 54?,5004.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,55 - 59?,5127,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,60 - 64?,4782,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,65 - 69?,3379.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,70 - 74?,2523,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,75 - 79?,1942.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,80? ??,1754,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,80 - 84?,1125,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,85? ??,629,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,85 - 89?,438.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,90 - 94?,153,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,95 - 99?,32,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,100? ??,5.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,?,61984,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,0 - 4?,1711,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,5 - 9?,1759.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,10 - 14?,1542.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,15 - 19?,1893.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,20 - 24?,4062,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,25 - 29?,5479,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,30 - 34?,5050,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,35 - 39?,5000.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,40 - 44?,4089,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,45 - 49?,4548.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,50 - 54?,4859.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,55 - 59?,4981,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,60 - 64?,4730,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,65 - 69?,3492,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,70 - 74?,2951.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,75 - 79?,2558.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,80? ??,3276,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,80 - 84?,1779,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,85? ??,1497,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,85 - 89?,990,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,90 - 94?,404.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,95 - 99?,92,,,,,,,,,,,,,,,,,,,,,,,,
 ??,??,100? ??,10.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,?,219403.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,0 - 4?,6548,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,5 - 9?,7215.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,10 - 14?,7168,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,15 - 19?,8648,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,20 - 24?,13540,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,25 - 29?,19187,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,30 - 34?,18518.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,35 - 39?,18787.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,40 - 44?,16188,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,45 - 49?,18255,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,50 - 54?,17807.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,55 - 59?,16916,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,60 - 64?,15451.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,65 - 69?,10694,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,70 - 74?,8500,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,75 - 79?,7238,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,80? ??,8741,,,,,,,,,,,,,,,,,,,,,,,,
 ???,?,80 - 84?,5101.5,,,,,,,,,,,,,,,,,,,,,,,,
